run,seed,model,candidate_id,params,inner_train_n,validation_n,validation_AUPRC,validation_F1_threshold
1,42,XGBoost,12,"{""colsample_bytree"": 0.8023420542913017, ""gamma"": 0.9369935592102827, ""learning_rate"": 0.08346897017304616, ""max_depth"": 9, ""min_child_weight"": 5, ""n_estimators"": 1200, ""reg_alpha"": 0.002635659047375756, ""reg_lambda"": 0.24525392968046789, ""subsample"": 0.921246628965628}",39654,9914,0.9098070737993302,0.5153255462646484
1,42,XGBoost,13,"{""colsample_bytree"": 0.7171867286497483, ""gamma"": 0.44131666863870234, ""learning_rate"": 0.015362578334813588, ""max_depth"": 12, ""min_child_weight"": 10, ""n_estimators"": 900, ""reg_alpha"": 0.4984076432655683, ""reg_lambda"": 5.8543978250057735, ""subsample"": 0.7227135071027}",39654,9914,0.8836349155873964,0.7394909858703613
1,42,XGBoost,14,"{""colsample_bytree"": 0.6252197590061827, ""gamma"": 0.314855868514073, ""learning_rate"": 0.026385845222281983, ""max_depth"": 7, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 0.0009182421233645662, ""reg_lambda"": 5.200218771160997, ""subsample"": 0.8728090471906531}",39654,9914,0.8499965099216116,0.7544276714324951
1,42,XGBoost,15,"{""colsample_bytree"": 0.9168423711984132, ""gamma"": 0.7914025625011976, ""learning_rate"": 0.0202202726151517, ""max_depth"": 12, ""min_child_weight"": 1, ""n_estimators"": 900, ""reg_alpha"": 0.002778717051007751, ""reg_lambda"": 5.541486237687817, ""subsample"": 0.7159014757605351}",39654,9914,0.9003136270432294,0.6463702321052551
1,42,XGBoost,16,"{""colsample_bytree"": 0.926012753219542, ""gamma"": 0.5099344045224061, ""learning_rate"": 0.02919237897576341, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 1200, ""reg_alpha"": 0.08709088238846749, ""reg_lambda"": 1.174520590554646, ""subsample"": 0.9044980516487914}",39654,9914,0.8803558867688567,0.7562876343727112
1,42,XGBoost,17,"{""colsample_bytree"": 0.8315405184683162, ""gamma"": 0.9168867412361833, ""learning_rate"": 0.011209159693793307, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 900, ""reg_alpha"": 0.00010121216452380156, ""reg_lambda"": 0.7583281335046962, ""subsample"": 0.908943095048292}",39654,9914,0.8391082994655586,0.7739110589027405
1,42,XGBoost,18,"{""colsample_bytree"": 0.7809482852318339, ""gamma"": 0.9790991811705053, ""learning_rate"": 0.04245234260344558, ""max_depth"": 9, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.04657765517450944, ""reg_lambda"": 0.2853448908674913, ""subsample"": 0.9832518970833515}",39654,9914,0.8947461402120971,0.7695234417915344
1,42,XGBoost,19,"{""colsample_bytree"": 0.9887653697984089, ""gamma"": 0.18566203258646807, ""learning_rate"": 0.0770145682651331, ""max_depth"": 9, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.0003469220766522309, ""reg_lambda"": 0.3560196474800629, ""subsample"": 0.7570647234552036}",39654,9914,0.907388510418402,0.6637347936630249
1,42,XGBoost,20,"{""colsample_bytree"": 0.9827126316182269, ""gamma"": 0.11649227714010069, ""learning_rate"": 0.06700111288435115, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.0956200260011471, ""reg_lambda"": 0.27205740277411383, ""subsample"": 0.9264979866169144}",39654,9914,0.8260604688385544,0.7999923825263977
1,42,XGBoost,21,"{""colsample_bytree"": 0.9853759520099082, ""gamma"": 0.20805548300456977, ""learning_rate"": 0.025323097344636024, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.0002521139976287407, ""reg_lambda"": 8.612689849761324, ""subsample"": 0.7934319741038607}",39654,9914,0.8222312151403762,0.7910029292106628
