task,Code,Product,run_n,normalized_gain_mean_pct,normalized_gain_SD_pct
classification,APGY,type III toxin-antitoxin system ToxN/AbiQ family toxin,3,0.056161574728108045,0.008295061541246991
classification,SGZ,Tn3-like element TnAs1 family transposase,3,0.05615804512426933,0.025819052741360926
classification,AHCH,phage Gp37/Gp68 family protein,3,0.05584034488934345,0.008058285626290948
classification,NEL,LPD29 domain-containing protein,3,0.05579672012907665,0.028383407366959875
classification,CLS,DNA polymerase III subunit beta,3,0.05550589772078551,0.06005623331558826
classification,YAU,class I SAM-dependent methyltransferase,3,0.055487591714358735,0.010608345125699688
classification,KBH,Hok/Gef family protein,3,0.05524370334251665,0.023180897888830012
classification,QPJ,Rpn family recombination-promoting nuclease/putative transposase,3,0.05498664404802919,0.009865501381560502
classification,QRK,S-(hydroxymethyl)glutathione dehydrogenase,3,0.054726969860580156,0.008517115779272765
classification,ANMO,transcription termination/antitermination NusG family protein,3,0.05468203102067701,0.00282721328538916
classification,AHTA,phospholipase D family protein,3,0.054380562381280494,0.01617297722907102
classification,AJMF,putative HNHc nuclease,3,0.0542860966441937,0.015811243516050563
classification,MBU,IS66 family transposase,3,0.05416893969533964,0.016977376925330245
classification,AHHY,phage terminase large subunit,3,0.0538986475464426,0.03588881386747479
classification,AHHL,phage tail tape measure protein,3,0.053699881526988326,0.030199151710960128
classification,CWZ,DUF1127 domain-containing protein,3,0.05369933889484507,0.02173070106526755
classification,AGQW,pantetheine-phosphate adenylyltransferase,3,0.053670069606837935,0.04870242576929004
classification,NME,LysR substrate-binding domain-containing protein,3,0.053564611856679344,0.006858690597574
classification,CGC,DDE-type integrase/transposase/recombinase,3,0.05348605271973172,0.006545472191279346
classification,VBU,aminodeoxychorismate synthase component I,3,0.053218662341983934,0.01575360616330144
classification,WDA,baseplate J/gp47 family protein,3,0.0530114700774135,0.04264769632460723
classification,ANXF,transposase zinc-binding domain-containing protein,3,0.05254193095630396,0.03654619512216617
classification,APTZ,uracil phosphoribosyltransferase,3,0.05234028903621871,0.004760031877669097
classification,OVM,NUDIX domain-containing protein,3,0.05226810654580491,0.03924008247079932
classification,AICS,plasmid replication initiator RepA,3,0.05216723905177617,0.0686601123558262
classification,TTL,YopX family protein,3,0.05210322357352618,0.020046429493494118
classification,IYD,FDLD family class I lanthipeptide,3,0.05172127008713858,0.03995235398299821
classification,CUT,DNA/RNA non-specific endonuclease,3,0.05169379535130301,0.02287985243765651
classification,BWJ,ComEC/Rec2 family competence protein,3,0.05144843976013699,0.01745618849839165
classification,MBT,IS66 family insertion sequence element accessory protein TnpB,3,0.051438418429285655,0.023305133001574562
classification,AFFD,mobilization protein,3,0.05127799555986435,0.022128084712024598
classification,RUM,TIGR02594 family protein,3,0.051269314836866996,0.016164009780507357
classification,AQEO,zinc ribbon domain-containing protein,3,0.05124420564071095,0.0432099109223437
classification,VNS,antitoxin VbhA family protein,3,0.05098508456083739,0.006517426123133317
classification,ABXA,glutaredoxin,3,0.050807528855913914,0.01337471886229648
classification,QFG,RNA methyltransferase,3,0.0507842300788888,0.043837770235478905
classification,ZIY,dUTP diphosphatase,3,0.05061606072352032,0.03756071966054834
classification,FBE,DUF3800 domain-containing protein,3,0.050362905091979486,0.036150553053893364
classification,YWM,cutinase family protein,3,0.050327100930787294,0.002048326454081175
classification,AMLU,sulfonamide-resistant dihydropteroate synthase Sul1,3,0.05022153524603415,0.03566173985462629
classification,KOA,IS200/IS605 family transposase,3,0.0500999583379489,0.01887223119658306
classification,AMMH,sulfotransferase family protein,3,0.050027153213201454,0.01312470852044829
classification,AIKQ,porin,3,0.04995660796372925,0.024082904364667562
classification,CXY,DUF1173 domain-containing protein,3,0.049859189306885966,0.03987480302464372
classification,PVF,ParM/StbA family protein,3,0.04970331647802027,0.015783046476455537
classification,IWW,FAD-NAD(P)-binding protein,3,0.04968506685200778,0.04316214378820871
classification,LJB,IS4 family transposase,3,0.049507220240894934,0.006469388522843973
classification,YNM,conjugal transfer protein,3,0.0493718999318139,0.008080659528688661
classification,ACLM,group II intron reverse transcriptase/maturase,3,0.04923546768304391,0.0058418563944655074
classification,HQC,DUF6900 domain-containing protein,3,0.04917753120324708,0.013477648615692867
classification,AGGQ,nucleotidyl transferase AbiEii/AbiGii toxin family protein,3,0.04914907316040001,0.013118974124208867
